mode,team,strategy_id,strategy_name,action_id,action_name,picks,pick_rate
standard,learner+learner,none,无策略,report,上报负责人,4410,0.127
standard,learner+learner,none,无策略,shutdown,切断热源/电源,4404,0.1268
standard,learner+learner,none,无策略,inspect,检查并更换器材,2630,0.0757
standard,learner+learner,none,无策略,secure,固定与规范连接,1493,0.043
standard,learner+learner,none,无策略,evacuate,撤离与警戒,4155,0.1197
standard,learner+reckless,none,无策略,stop,暂停当前步骤,4351,0.1249
standard,learner+reckless,none,无策略,ppe,补全PPE,1165,0.0334
standard,learner+reckless,none,无策略,label,核对标签与记录,2700,0.0775
standard,learner+reckless,none,无策略,hood,使用通风橱,2578,0.074
standard,learner+reckless,none,无策略,waste,分类回收,1159,0.0333
standard,learner+reckless,none,无策略,cleanup,隔离与清理,2454,0.0704
standard,learner+reckless,none,无策略,emergency,使用应急设施,3470,0.0996
standard,learner+reckless,none,无策略,report,上报负责人,4300,0.1234
standard,learner+reckless,none,无策略,shutdown,切断热源/电源,4269,0.1226
standard,learner+reckless,none,无策略,inspect,检查并更换器材,2756,0.0791
standard,learner+reckless,none,无策略,secure,固定与规范连接,1597,0.0458
standard,learner+reckless,none,无策略,evacuate,撤离与警戒,4035,0.1158
standard,learner+safe,none,无策略,stop,暂停当前步骤,4655,0.1332
standard,learner+safe,none,无策略,ppe,补全PPE,1014,0.029
standard,learner+safe,none,无策略,label,核对标签与记录,2487,0.0712
standard,learner+safe,none,无策略,hood,使用通风橱,2533,0.0725
standard,learner+safe,none,无策略,waste,分类回收,1041,0.0298
standard,learner+safe,none,无策略,cleanup,隔离与清理,2252,0.0645
standard,learner+safe,none,无策略,emergency,使用应急设施,3529,0.101
standard,learner+safe,none,无策略,report,上报负责人,4561,0.1305
standard,learner+safe,none,无策略,shutdown,切断热源/电源,4609,0.1319
standard,learner+safe,none,无策略,inspect,检查并更换器材,2662,0.0762
standard,learner+safe,none,无策略,secure,固定与规范连接,1442,0.0413
standard,learner+safe,none,无策略,evacuate,撤离与警戒,4153,0.1189
standard,reckless+reckless,none,无策略,stop,暂停当前步骤,4005,0.1163
standard,reckless+reckless,none,无策略,ppe,补全PPE,1271,0.0369
standard,reckless+reckless,none,无策略,label,核对标签与记录,2911,0.0845
standard,reckless+reckless,none,无策略,hood,使用通风橱,2787,0.0809
standard,reckless+reckless,none,无策略,waste,分类回收,1420,0.0412
standard,reckless+reckless,none,无策略,cleanup,隔离与清理,2720,0.079
standard,reckless+reckless,none,无策略,emergency,使用应急设施,3273,0.095
standard,reckless+reckless,none,无策略,report,上报负责人,3795,0.1102
standard,reckless+reckless,none,无策略,shutdown,切断热源/电源,3842,0.1116
standard,reckless+reckless,none,无策略,inspect,检查并更换器材,2856,0.0829
standard,reckless+reckless,none,无策略,secure,固定与规范连接,1874,0.0544
standard,reckless+reckless,none,无策略,evacuate,撤离与警戒,3682,0.1069
standard,reckless+safe,none,无策略,stop,暂停当前步骤,4532,0.1298
standard,reckless+safe,none,无策略,ppe,补全PPE,1018,0.0292
standard,reckless+safe,none,无策略,label,核对标签与记录,2621,0.0751
standard,reckless+safe,none,无策略,hood,使用通风橱,2648,0.0759
standard,reckless+safe,none,无策略,waste,分类回收,1094,0.0313
standard,reckless+safe,none,无策略,cleanup,隔离与清理,2364,0.0677
standard,reckless+safe,none,无策略,emergency,使用应急设施,3398,0.0974
standard,reckless+safe,none,无策略,report,上报负责人,4460,0.1278
standard,reckless+safe,none,无策略,shutdown,切断热源/电源,4357,0.1248
standard,reckless+safe,none,无策略,inspect,检查并更换器材,2744,0.0786
standard,reckless+safe,none,无策略,secure,固定与规范连接,1562,0.0448
standard,reckless+safe,none,无策略,evacuate,撤离与警戒,4104,0.1176
standard,safe+safe,none,无策略,stop,暂停当前步骤,4664,0.1335
standard,safe+safe,none,无策略,ppe,补全PPE,979,0.028
standard,safe+safe,none,无策略,label,核对标签与记录,2572,0.0736
standard,safe+safe,none,无策略,hood,使用通风橱,2461,0.0704
standard,safe+safe,none,无策略,waste,分类回收,994,0.0284
standard,safe+safe,none,无策略,cleanup,隔离与清理,2246,0.0643
standard,safe+safe,none,无策略,emergency,使用应急设施,3521,0.1008
standard,safe+safe,none,无策略,report,上报负责人,4641,0.1328
standard,safe+safe,none,无策略,shutdown,切断热源/电源,4578,0.131
standard,safe+safe,none,无策略,inspect,检查并更换器材,2622,0.075
standard,safe+safe,none,无策略,secure,固定与规范连接,1481,0.0424
standard,safe+safe,none,无策略,evacuate,撤离与警戒,4185,0.1198
teaching,balanced+balanced,none,无策略,stop,暂停当前步骤,4579,0.1284
teaching,balanced+balanced,none,无策略,ppe,补全PPE,1085,0.0304
teaching,balanced+balanced,none,无策略,label,核对标签与记录,2791,0.0782
teaching,balanced+balanced,none,无策略,hood,使用通风橱,2746,0.077
teaching,balanced+balanced,none,无策略,waste,分类回收,1151,0.0323
teaching,balanced+balanced,none,无策略,cleanup,隔离与清理,2373,0.0665
teaching,balanced+balanced,none,无策略,emergency,使用应急设施,3354,0.094
teaching,balanced+balanced,none,无策略,report,上报负责人,4415,0.1238
teaching,balanced+balanced,none,无策略,shutdown,切断热源/电源,4481,0.1256
teaching,balanced+balanced,none,无策略,inspect,检查并更换器材,2844,0.0797
teaching,balanced+balanced,none,无策略,secure,固定与规范连接,1671,0.0468
teaching,balanced+balanced,none,无策略,evacuate,撤离与警戒,4182,0.1172
challenge,balanced+balanced,none,无策略,stop,暂停当前步骤,4980,0.1253
challenge,balanced+balanced,none,无策略,ppe,补全PPE,1196,0.0301
challenge,balanced+balanced,none,无策略,label,核对标签与记录,2897,0.0729
challenge,balanced+balanced,none,无策略,hood,使用通风橱,2956,0.0744
challenge,balanced+balanced,none,无策略,waste,分类回收,1328,0.0334
challenge,balanced+balanced,none,无策略,cleanup,隔离与清理,2832,0.0712
challenge,balanced+balanced,none,无策略,emergency,使用应急设施,3918,0.0986
challenge,balanced+balanced,none,无策略,report,上报负责人,4997,0.1257
challenge,balanced+balanced,none,无策略,shutdown,切断热源/电源,4990,0.1255
challenge,balanced+balanced,none,无策略,inspect,检查并更换器材,3115,0.0784
challenge,balanced+balanced,none,无策略,secure,固定与规范连接,1930,0.0486
challenge,balanced+balanced,none,无策略,evacuate,撤离与警戒,4609,0.116
standard,balanced+balanced,stable_management,稳健管理,stop,暂停当前步骤,4599,0.1298
standard,balanced+balanced,stable_management,稳健管理,ppe,补全PPE,1099,0.031
standard,balanced+balanced,stable_management,稳健管理,label,核对标签与记录,2706,0.0764
standard,balanced+balanced,stable_management,稳健管理,hood,使用通风橱,2683,0.0757
standard,balanced+balanced,stable_management,稳健管理,waste,分类回收,1116,0.0315
standard,balanced+balanced,stable_management,稳健管理,cleanup,隔离与清理,2438,0.0688
standard,balanced+balanced,stable_management,稳健管理,emergency,使用应急设施,3311,0.0934
standard,balanced+balanced,stable_management,稳健管理,report,上报负责人,4434,0.1251
standard,balanced+balanced,stable_management,稳健管理,shutdown,切断热源/电源,4510,0.1273
standard,balanced+balanced,stable_management,稳健管理,inspect,检查并更换器材,2865,0.0809
standard,balanced+balanced,stable_management,稳健管理,secure,固定与规范连接,1563,0.0441
standard,balanced+balanced,stable_management,稳健管理,evacuate,撤离与警戒,4108,0.1159
standard,balanced+balanced,efficiency_first,效率优先,stop,暂停当前步骤,4434,0.1287
standard,balanced+balanced,efficiency_first,效率优先,ppe,补全PPE,1049,0.0304
standard,balanced+balanced,efficiency_first,效率优先,label,核对标签与记录,2651,0.0769
standard,balanced+balanced,efficiency_first,效率优先,hood,使用通风橱,2601,0.0755
standard,balanced+balanced,efficiency_first,效率优先,waste,分类回收,1058,0.0307
standard,balanced+balanced,efficiency_first,效率优先,cleanup,隔离与清理,2353,0.0683
standard,balanced+balanced,efficiency_first,效率优先,emergency,使用应急设施,3256,0.0945
standard,balanced+balanced,efficiency_first,效率优先,report,上报负责人,4423,0.1284
standard,balanced+balanced,efficiency_first,效率优先,shutdown,切断热源/电源,4388,0.1274
standard,balanced+balanced,efficiency_first,效率优先,inspect,检查并更换器材,2667,0.0774
standard,balanced+balanced,efficiency_first,效率优先,secure,固定与规范连接,1461,0.0424
standard,balanced+balanced,efficiency_first,效率优先,evacuate,撤离与警戒,4111,0.1193
standard,balanced+balanced,standards_first,规范先行,stop,暂停当前步骤,4276,0.1257
standard,balanced+balanced,standards_first,规范先行,ppe,补全PPE,1015,0.0298
standard,balanced+balanced,standards_first,规范先行,label,核对标签与记录,2649,0.0779
standard,balanced+balanced,standards_first,规范先行,hood,使用通风橱,2609,0.0767
standard,balanced+balanced,standards_first,规范先行,waste,分类回收,1069,0.0314
standard,balanced+balanced,standards_first,规范先行,cleanup,隔离与清理,2339,0.0688
standard,balanced+balanced,standards_first,规范先行,emergency,使用应急设施,3137,0.0922
standard,balanced+balanced,standards_first,规范先行,report,上报负责人,4439,0.1305
standard,balanced+balanced,standards_first,规范先行,shutdown,切断热源/电源,4379,0.1288
standard,balanced+balanced,standards_first,规范先行,inspect,检查并更换器材,2637,0.0775
standard,balanced+balanced,standards_first,规范先行,secure,固定与规范连接,1533,0.0451
standard,balanced+balanced,standards_first,规范先行,evacuate,撤离与警戒,3924,0.1154
standard,balanced+balanced,risk_isolation,风险隔离,stop,暂停当前步骤,4546,0.1287
standard,balanced+balanced,risk_isolation,风险隔离,ppe,补全PPE,995,0.0282
standard,balanced+balanced,risk_isolation,风险隔离,label,核对标签与记录,2731,0.0773
standard,balanced+balanced,risk_isolation,风险隔离,hood,使用通风橱,2733,0.0774
standard,balanced+balanced,risk_isolation,风险隔离,waste,分类回收,1105,0.0313
standard,balanced+balanced,risk_isolation,风险隔离,cleanup,隔离与清理,2348,0.0665
standard,balanced+balanced,risk_isolation,风险隔离,emergency,使用应急设施,3271,0.0926
standard,balanced+balanced,risk_isolation,风险隔离,report,上报负责人,4525,0.1281
standard,balanced+balanced,risk_isolation,风险隔离,shutdown,切断热源/电源,4622,0.1309
standard,balanced+balanced,risk_isolation,风险隔离,inspect,检查并更换器材,2766,0.0783
standard,balanced+balanced,risk_isolation,风险隔离,secure,固定与规范连接,1620,0.0459
standard,balanced+balanced,risk_isolation,风险隔离,evacuate,撤离与警戒,4052,0.1147
