mode,team,strategy_id,strategy_name,action_id,action_name,picks,pick_rate
standard,balanced+balanced,stable_management,稳健管理,stop,暂停操作,7283,0.2057
standard,balanced+balanced,stable_management,稳健管理,ppe,补全PPE,2047,0.0578
standard,balanced+balanced,stable_management,稳健管理,label,核对标签,3972,0.1122
standard,balanced+balanced,stable_management,稳健管理,hood,使用通风橱,4021,0.1136
standard,balanced+balanced,stable_management,稳健管理,waste,分类回收,1889,0.0534
standard,balanced+balanced,stable_management,稳健管理,cleanup,隔离与清理,3489,0.0986
standard,balanced+balanced,stable_management,稳健管理,emergency,使用应急设施,5851,0.1653
standard,balanced+balanced,stable_management,稳健管理,report,上报负责人,6850,0.1935
standard,balanced+balanced,efficiency_first,效率优先,stop,暂停操作,7051,0.2049
standard,balanced+balanced,efficiency_first,效率优先,ppe,补全PPE,2047,0.0595
standard,balanced+balanced,efficiency_first,效率优先,label,核对标签,3863,0.1122
standard,balanced+balanced,efficiency_first,效率优先,hood,使用通风橱,3748,0.1089
standard,balanced+balanced,efficiency_first,效率优先,waste,分类回收,1862,0.0541
standard,balanced+balanced,efficiency_first,效率优先,cleanup,隔离与清理,3446,0.1001
standard,balanced+balanced,efficiency_first,效率优先,emergency,使用应急设施,5714,0.166
standard,balanced+balanced,efficiency_first,效率优先,report,上报负责人,6685,0.1942
standard,balanced+balanced,standards_first,规范先行,stop,暂停操作,7046,0.2052
standard,balanced+balanced,standards_first,规范先行,ppe,补全PPE,1973,0.0575
standard,balanced+balanced,standards_first,规范先行,label,核对标签,3996,0.1164
standard,balanced+balanced,standards_first,规范先行,hood,使用通风橱,3840,0.1118
standard,balanced+balanced,standards_first,规范先行,waste,分类回收,1818,0.053
standard,balanced+balanced,standards_first,规范先行,cleanup,隔离与清理,3403,0.0991
standard,balanced+balanced,standards_first,规范先行,emergency,使用应急设施,5621,0.1637
standard,balanced+balanced,standards_first,规范先行,report,上报负责人,6637,0.1933
standard,balanced+balanced,risk_isolation,风险隔离,stop,暂停操作,7541,0.213
standard,balanced+balanced,risk_isolation,风险隔离,ppe,补全PPE,1960,0.0554
standard,balanced+balanced,risk_isolation,风险隔离,label,核对标签,3861,0.109
standard,balanced+balanced,risk_isolation,风险隔离,hood,使用通风橱,4001,0.113
standard,balanced+balanced,risk_isolation,风险隔离,waste,分类回收,1834,0.0518
standard,balanced+balanced,risk_isolation,风险隔离,cleanup,隔离与清理,3505,0.099
standard,balanced+balanced,risk_isolation,风险隔离,emergency,使用应急设施,5782,0.1633
standard,balanced+balanced,risk_isolation,风险隔离,report,上报负责人,6922,0.1955
